BugName,Baseline,AutoSD
Csv_1,TRUE,TRUE
Csv_2,TRUE,TRUE
Csv_3,,
Csv_4,TRUE,TRUE
Csv_5,TRUE,TRUE
Csv_6,TRUE,TRUE
Csv_7,TRUE,TRUE
Csv_8,TRUE,TRUE
Csv_9,,
Csv_10,TRUE,TRUE
Csv_11,TRUE,TRUE
Csv_12,,
Csv_13,,
Csv_14,FALSE,
Csv_15,,
Csv_16,,
Gson_1,,
Gson_2,,
Gson_3,,
Gson_4,,
Gson_5,,
Gson_6,TRUE,TRUE
Gson_7,,
Gson_8,,
Gson_9,,
Gson_10,TRUE,TRUE
Gson_11,TRUE,TRUE
Gson_12,FALSE,
Gson_13,TRUE,TRUE
Gson_14,,
Gson_15,TRUE,TRUE
Gson_16,TRUE,TRUE
Gson_17,,
Gson_18,TRUE,
JacksonCore_1,,
JacksonCore_2,,
JacksonCore_3,,
JacksonCore_4,FALSE,FALSE
JacksonCore_5,TRUE,TRUE
JacksonCore_6,TRUE,TRUE
JacksonCore_7,TRUE,TRUE
JacksonCore_8,FALSE,FALSE
JacksonCore_9,TRUE,TRUE
JacksonCore_10,,
JacksonCore_11,,
JacksonCore_12,,
JacksonCore_13,,
JacksonCore_14,,
JacksonCore_15,,
JacksonCore_16,,
JacksonCore_17,FALSE,
JacksonCore_18,,
JacksonCore_19,,
JacksonCore_20,TRUE,TRUE
JacksonCore_21,,
JacksonCore_22,,
JacksonCore_23,TRUE,TRUE
JacksonCore_24,,
JacksonCore_25,TRUE,
JacksonCore_26,,
JacksonDatabind_1,TRUE,TRUE
JacksonDatabind_2,,
JacksonDatabind_3,TRUE,TRUE
JacksonDatabind_4,,
JacksonDatabind_5,FALSE,FALSE
JacksonDatabind_6,,
JacksonDatabind_7,,
JacksonDatabind_8,,
JacksonDatabind_9,FALSE,FALSE
JacksonDatabind_10,,
JacksonDatabind_11,,
JacksonDatabind_12,TRUE,FALSE
JacksonDatabind_13,FALSE,FALSE
JacksonDatabind_14,,
JacksonDatabind_15,,
JacksonDatabind_16,TRUE,TRUE
JacksonDatabind_17,TRUE,
JacksonDatabind_18,,
JacksonDatabind_19,TRUE,TRUE
JacksonDatabind_20,,
JacksonDatabind_21,,
JacksonDatabind_22,,
JacksonDatabind_23,,
JacksonDatabind_24,FALSE,TRUE
JacksonDatabind_25,FALSE,
JacksonDatabind_26,,
JacksonDatabind_27,,
JacksonDatabind_28,TRUE,TRUE
JacksonDatabind_29,,
JacksonDatabind_30,,
JacksonDatabind_31,,
JacksonDatabind_32,TRUE,TRUE
JacksonDatabind_33,TRUE,TRUE
JacksonDatabind_34,TRUE,TRUE
JacksonDatabind_35,,
JacksonDatabind_36,,
JacksonDatabind_37,,
JacksonDatabind_38,,
JacksonDatabind_39,FALSE,
JacksonDatabind_40,,
